nom,genre,parti,changements,ch1-legislature,ch1-hansard,ch1-parti,ch2-legislature,ch2-hansard,ch2-parti,province,urlPhoto
Adam Chambers,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChambersAdam_CPC.jpg
Adam van Koeverden,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/vanKoeverdenAdam_Lib.jpg
Adam Vaughan,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VaughanAdam_Lib.jpg
Ahmed Hussen,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HussenAhmedD_Lib.jpg
Alain Rayes,H,PCC,1,441,102,Ind.,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RayesAlain_CPC.jpg
Alain Therrien,H,BQ,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/TherrienAlain_BQ.jpg
Alaina Lockhart,F,PLC,0,,,,,,,Nouveau-Brunswick,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LockhartAlaina_Lib.jpg
Alex Ruff,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RuffAlex_CPC.jpg
Alexander Nuttall,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/NuttallAlex_CPC.jpg
Alexandra Mendès,F,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MendèsAlexandra_Lib.jpg
Alexandre Boulerice,H,NPD,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BoulericeAlexandre_NDP.jpg
Alexis Brunelle-Duceppe,H,BQ,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/Brunelle-DuceppeAlexis_BQ.jpg
Ali Ehsassi,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/EhsassiAli_Lib.jpg
Alice Wong,F,PCC,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WongAlice_CPC.jpg
Alistair MacGregor,H,NPD,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MacGregorAllistair_NDP.jpg
Alupa Clarke,H,PCC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ClarkeAlupa_CPC.jpg
Amarjeet Sohi,H,PLC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/SohiAmarjeet_Lib.jpg
Andréanne Larouche,F,BQ,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LaroucheAndréanne_BQ.jpg
Andrew Leslie,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LeslieAndrew_Lib.jpg
Andrew Scheer,H,PCC,0,,,,,,,Saskatchewan,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ScheerAndrew_CPC.jpg
Andy Fillmore,H,PLC,0,,,,,,,Nouvelle-Écosse,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FillmoreAndy_Lib.jpg
Angelo Iacono,H,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/IaconoAngelo_Lib.jpg
Anita Anand,F,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AnandAnita_Lib.jpg
Anita Vandenbeld,F,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/VandenbeldAnita_Lib.jpg
Anju Dhillon,F,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DhillonAnju_Lib.jpg
Anna Roberts,F,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RobertsAnna_CPC.jpg
Anne Minh-Thu Quach,F,NPD,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/QuachAnneMinhThu_NDP.jpg
Annie Koutrakis,F,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/KoutrakisAnnie_Lib.jpg
Anthony Housefather,H,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HousefatherAnthony_Lib.jpg
Anthony Rota,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RotaAnthony_Lib.jpg
Arielle Kayabaga,F,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/KayabagaArielle_Lib.jpg
Arif Virani,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ViraniArif_Lib.jpg
Arnold Chan,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ChanArnold_Lib.jpg
Arnold Viersen,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ViersenArnold_CPC.jpg
Bardish Chagger,F,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChaggerBardish_Lib.jpg
Ben Lobb,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LobbBen_CPC.jpg
Bernadette Jordan,F,PLC,0,,,,,,,Nouvelle-Écosse,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JordanBernadette_Lib.jpg
Bernard Généreux,H,PCC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GénéreuxBernard_CPC.jpg
Bev Shipley,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ShipleyBev_CPC.jpg
Bill Blair,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlairBill_Lib.jpg
Bill Casey,H,PLC,0,,,,,,,Nouvelle-Écosse,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/CaseyBill_Lib.jpg
Bill Morneau,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MorneauBill_Lib.jpg
Blaine Calkins,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/CalkinsBlaine_CPC.jpg
Blake Desjarlais,H,NPD,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DesjarlaisBlake_NDP.jpg
Blake Richards,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RichardsBlake_CPC.jpg
Bob Benzen,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BenzenBob_CPC.jpg
Bob Bratina,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BratinaBob_Lib.jpg
Bob Saroya,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SaroyaBob_CPC.jpg
Bob Zimmer,H,PCC,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ZimmerBob_CPC.jpg
Bonita Zarrillo,F,NPD,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ZarrilloBonita_NDP.jpg
Borys Wrzesnewskyj,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/WrzesnewskyjBorys_Lib.jpg
Brad Redekopp,H,PCC,0,,,,,,,Saskatchewan,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RedekoppBrad_CPC.jpg
Brad Trost,H,PCC,0,,,,,,,Saskatchewan,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/TrostBrad_CPC.jpg
Brad Vis,H,PCC,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/VisBrad_CPC.jpg
Brenda Shanahan,F,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ShanahanBrenda_Lib.jpg
Brendan Hanley,H,PLC,0,,,,,,,Yukon,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HanleyBrendan_Lib.jpg
Brian Masse,H,NPD,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MasseBrian_NDP.jpg
Brigitte Sansoucy,F,NPD,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/SansoucyBrigitte_NDP.jpg
Bruce Stanton,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/StantonBruce_CPC.jpg
Bryan May,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MayBryan_Lib.jpg
Candice Bergen,F,PCC,0,,,,,,,Manitoba,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BergenCandice_CPC.jpg
Carol Hughes,F,NPD,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/QualtroughCarla_Lib.jpg
Caroline Desbiens,F,BQ,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HughesCarol_NDP.jpg
Carolyn Bennett,F,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DesbiensCaroline_BQ.jpg
Cathay Wagantall,F,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BennettCarolyn_Lib.jpg
Catherine McKenna,F,PLC,0,,,,,,,Saskatchewan,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/WagantallCathay_CPC.jpg
Cathy McLeod,F,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McKennaCatherine_Lib.jpg
Celina Caesar-Chavannes,F,PLC,1,421,397,Ind.,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McLeodCathy_CPC.jpg
Chad Collins,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/CaesarChavannesCelina_Lib.jpg
Chandra Arya,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/CollinsChad_Lib.jpg
Charles Sousa,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AryaChandra_Lib.jpg
Charlie Angus,H,NPD,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SousaCharles_Lib.jpg
Cheryl Gallant,F,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AngusCharlie_NDP.jpg
Cheryl Hardcastle,F,NPD,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GallantCheryl_CPC.jpg
Chris Bittle,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/HardcastleCheryl_NDP.jpg
Chris d'Entremont,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BittleChris_Lib.jpg
Chris d’Entremont,H,PCC,0,,,,,,,Nouvelle-Écosse,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DentremontChris_CPC.jpg
Chris Lewis,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LewisChris_CPC.jpg
Chris Warkentin,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/WarkentinChris_CPC.jpg
Christine Moore,F,NPD,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/MooreChristine_NPD.jpg
Christine Normandin,F,BQ,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/NormandinChristine_BQ.jpg
Chrystia Freeland,F,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FreelandChrystia_Lib.jpg
Churence Rogers,H,PLC,0,,,,,,,Terre-Neuve-et-Labrador,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RogersChurence_Lib.jpg
Claude DeBellefeuille,F,BQ,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DeBellefeuilleClaude_BQ.jpg
Clifford Small,H,PCC,0,,,,,,,Terre-Neuve-et-Labrador,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SmallClifford_CPC.jpg
Colin Carrie,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/CarrieColin_CPC.jpg
Colin Fraser,H,PLC,0,,,,,,,Nouvelle-Écosse,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/FraserColin_Lib.jpg
Corey Tochor,H,PCC,0,,,,,,,Saskatchewan,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/TochorCorey_CPC.jpg
Damien Kurek,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/KurekDamien_CPC.jpg
Dan Albas,H,PCC,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AlbasDan_CPC.jpg
Dan Mazier,H,PCC,0,,,,,,,Manitoba,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MazierDan_CPC.jpg
Dan Muys,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MuysDan_CPC.jpg
Dan Ruimy,H,PLC,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/RuimyDan_Lib.jpg
Dan Vandal,H,PLC,0,,,,,,,Manitoba,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/VandalDan_Lib.jpg
Dane Lloyd,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LloydDane_CPC.jpg
Daniel Blaikie,H,NPD,0,,,,,,,Manitoba,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlaikieDaniel_NDP.jpg
Darrell Samson,H,PLC,0,,,,,,,Nouvelle-Écosse,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SamsonDarrell_Lib.jpg
Darren Fisher,H,PLC,0,,,,,,,Nouvelle-Écosse,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FisherDarren_Lib.jpg
Darshan Singh Kang,H,PLC,1,421,267,Ind.,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/KangDarshanSingh_Lib.jpg
Dave Epp,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/EppDave_CPC.jpg
Dave MacKenzie,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MacKenzieDavid_CPC.jpg
Dave Van Kesteren,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/VanKesterenDave_CPC.jpg
David Anderson,H,PCC,0,,,,,,,Saskatchewan,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/AndersonDavid_CPC.jpg
David Christopherson,H,NPD,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ChristophersonDavid_NDP.jpg
David de Burgh Graham,H,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/GrahamDavid_Lib.jpg
David Graham,H,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/GrahamDavid_Lib.jpg
David Lametti,H,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LamettiDavid_Lib.jpg
David McGuinty,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/McGuintyDavidJ._Lib.jpg
David Sweet,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SweetDavid_CPC.jpg
David Tilson,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/TilsonDavid_CPC.jpg
David Yurdiga,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/YurdigaDavid_CPC.jpg
Dean Allison,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AllisonDean_CPC.jpg
Deb Schulte,F,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SchulteDeb_Lib.jpg
Deborah Schulte,F,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SchulteDeb_Lib.jpg
Deepak Obhrai,H,PCC,0,,,,,,,Alberta,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ObhraiDeepak_CPC.jpg
Denis Lebel,H,PCC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LebelDenis_CPC.jpg
Denis Lemieux,H,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LemieuxDenis_Lib.jpg
Denis Paradis,H,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ParadisDenis_Lib.jpg
Denis Trudel,H,BQ,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/TrudelDenis_BQ.jpg
Derek Sloan,H,PCC,1,432,49,Ind.,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SloanDerek_CPC.jpg
Diane Finley,F,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FinleyDiane_CPC.jpg
Diane Lebouthillier,F,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LebouthillierDiane_Lib.jpg
Dianne L. Watts,F,PCC,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/WattsDianneLynn_CPC.jpg
Dianne Watts,F,PCC,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/WattsDianneLynn_CPC.jpg
Dominic LeBlanc,H,PLC,0,,,,,,,Nouveau-Brunswick,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LeblancDominic_Lib.jpg
Dominique Vien,F,PCC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/VienDominique_CPC.jpg
Don Davies,H,NPD,0,,,,,,,Colombie-Britannique,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DaviesDon_NDP.jpg
Don Rusnak,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/RusnakDon_Lib.jpg
